id,female,hispanic,white,black,native,asian,prtedu,health,q1,q2,q3,q4,q5,q6,q7,q8
90504500,1,0,0,1,0,0,8,2,1,1,1,0,2,2,0,0
90504504,1,0,0,1,0,0,9,4,0,1,0,0,2,2,0,0
90504603,0,0,0,1,0,0,8,3,0,1,1,1,3,3,0,0
90506040,1,0,0,0,0,1,5,1,1,2,1,0,2,2,0,0
90506094,1,0,1,1,1,0,7,2,1,0,0,0,3,3,0,0
90506203,1,0,1,0,0,0,7,4,0,0,0,0,2,3,0,1
90506236,1,0,1,0,0,0,8,3,0,1,1,0,1,2,0,0
90506268,0,1,1,0,0,0,8,3,1,1,1,1,1,2,1,0
90506372,1,0,1,0,0,0,8,3,1,2,2,2,1,1,1,1
90506428,1,1,0,0,0,0,7,4,0,1,0,0,3,3,1,0
90506472,1,0,1,0,0,0,7,3,0,1,2,0,2,3,0,0
90506828,1,1,0,0,0,0,6,1,1,1,3,1,3,3,1,0
90506849,1,0,0,0,0,1,8,4,1,1,0,0,3,3,1,0
90508033,1,0,1,0,0,0,8,4,0,0,0,0,2,2,1,0
90508165,1,0,0,1,0,0,6,1,0,0,1,0,3,3,1,0
90508577,1,1,1,0,0,0,8,2,1,1,1,0,2,2,1,0
90543102,0,1,0,0,0,0,2,4,1,0,0,0,2,2,0,0
90543104,1,1,0,0,0,0,2,2,0,0,1,0,2,2,0,0
90546223,0,0,1,0,0,1,3,2,1,2,2,0,1,2,1,1
90548078,1,0,1,0,0,0,8,3,1,2,1,1,1,1,1,1
90570184,1,0,0,0,0,1,4,2,1,1,1,0,1,2,0,0
90570190,1,0,1,0,0,0,5,4,1,2,2,1,1,1,1,1
90570222,0,0,1,0,0,0,4,4,1,0,0,0,2,2,0,0
90570280,0,1,0,0,0,0,6,1,1,1,1,1,2,3,1,1
90570412,0,1,0,0,0,0,1,3,0,1,0,0,2,2,0,0
90570582,0,0,0,1,0,0,9,3,0,1,1,0,3,3,0,0
90570626,0,0,0,1,1,0,,3,2,3,2,2,0,1,1,1
90570655,1,0,0,1,0,0,7,2,3,1,1,1,2,2,1,1
90570725,1,0,1,0,0,0,9,2,0,0,0,0,3,3,1,0
90570778,1,1,0,0,0,0,5,2,0,1,1,0,2,3,0,2
90570892,1,0,1,0,0,0,7,4,0,1,2,0,3,3,0,0
90571004,0,0,1,0,0,0,4,4,1,1,1,1,1,2,1,0
90571069,1,0,1,0,1,0,4,2,1,2,2,1,2,1,1,0
90571074,0,1,0,0,0,0,10,4,3,2,1,0,2,1,1,1
90571103,0,0,1,0,0,0,4,2,1,2,1,1,2,2,1,1
90571210,0,0,1,0,0,0,6,4,1,2,0,0,2,3,1,1
90571217,1,0,1,0,0,0,9,3,0,1,0,0,3,3,0,0
90571276,1,0,1,0,0,0,2,1,1,2,3,1,1,2,0,0
90571315,0,0,1,0,0,0,9,3,0,0,0,0,3,3,0,0
90571401,1,0,1,0,0,0,6,3,0,1,0,0,3,3,0,0
90571402,1,0,1,0,0,0,4,3,0,2,1,1,2,2,1,0
90571418,1,0,1,0,0,0,9,3,0,0,0,0,2,2,0,0
90571461,0,0,1,0,0,0,7,2,0,1,1,0,2,2,0,2
90571472,1,0,1,0,0,0,4,2,1,2,2,3,1,1,2,1
90571805,1,0,1,0,0,0,4,4,1,0,1,0,3,3,0,0
90571816,1,0,1,0,0,0,7,4,1,1,1,1,3,3,1,0
90571861,1,0,1,0,0,0,7,3,0,0,0,0,2,2,0,0
90571913,1,0,1,0,0,0,8,2,0,2,2,1,2,2,1,0
90571914,1,0,1,0,0,0,4,3,2,3,0,0,3,3,1,1
90572007,1,0,1,0,0,0,8,3,0,1,1,0,2,2,0,0
90572049,0,0,1,0,0,0,7,3,1,0,0,0,2,2,1,0
90572070,0,0,1,0,0,0,8,2,0,2,2,0,3,3,0,0
90572147,0,0,1,0,0,0,7,3,1,2,1,1,1,1,1,2
90572169,0,0,1,0,0,0,7,3,1,1,0,0,2,3,1,0
90572172,0,0,1,0,0,0,8,4,0,0,2,1,3,3,0,0
90572198,1,0,1,0,0,0,4,4,1,0,1,1,3,3,1,0
90572213,1,0,1,0,0,0,4,3,0,1,0,0,2,3,1,0
90572265,1,0,1,0,0,0,4,3,1,2,0,1,1,1,1,0
90572268,1,0,1,0,0,0,7,3,1,1,2,0,3,3,0,0
90572269,1,0,1,0,0,0,7,2,0,1,1,0,3,3,1,0
90572280,1,0,1,0,0,0,3,2,0,0,1,0,1,1,1,1
90572282,1,0,0,1,0,0,2,4,1,2,3,1,3,3,1,0
90572283,1,0,1,0,0,0,4,4,0,3,0,2,1,1,1,0
90572285,1,0,0,1,0,0,,4,0,0,1,0,3,3,0,0
90572303,1,0,1,0,0,0,7,2,0,0,0,0,3,3,0,0
90572323,0,0,0,0,1,0,7,2,1,0,1,0,2,2,1,0
90572341,0,0,1,0,0,0,4,4,0,2,0,0,2,3,1,0
90572384,0,0,1,0,0,0,7,3,1,0,0,0,3,3,0,0
90572393,0,0,1,0,0,0,,4,0,1,0,0,3,3,0,0
90572448,0,0,1,0,0,0,6,3,1,2,2,2,1,2,1,2
90572469,1,0,1,0,0,0,9,3,1,1,1,0,2,2,0,0
90572862,0,0,1,0,0,0,4,3,1,2,1,0,2,1,1,0
90572900,1,0,1,0,0,0,4,4,0,3,0,0,3,2,0,0
90572909,0,0,1,0,0,0,8,3,1,0,1,0,2,1,0,2
90572925,1,1,0,0,0,0,,3,3,3,3,1,3,2,1,3
90572974,1,0,1,0,0,0,4,3,1,0,2,1,1,1,1,1
90572983,1,0,1,0,0,0,5,2,3,2,2,1,2,2,2,3
90572984,1,0,1,0,0,0,4,4,0,0,1,0,3,3,1,0
90572991,1,1,0,0,0,0,2,4,0,0,0,0,2,3,0,0
90572998,0,0,1,0,0,0,7,4,1,0,1,0,3,3,1,0
90573011,1,0,1,0,0,0,7,3,2,1,3,0,3,3,0,0
90573194,1,0,1,0,0,0,6,4,1,2,1,1,1,2,1,0
90573212,0,0,1,0,0,0,7,4,0,2,0,0,2,2,0,0
90573491,1,0,1,0,0,0,7,2,1,2,3,3,1,0,2,1
90573618,1,0,1,0,0,0,2,3,2,1,2,1,3,3,0,2
90573818,0,0,1,0,0,0,4,3,1,0,2,0,1,1,1,1
90573940,1,0,1,0,0,0,7,2,1,0,2,0,1,1,1,1
90573954,1,0,1,0,0,0,9,3,0,0,0,0,3,3,0,0
90573956,1,0,1,0,0,0,5,3,2,1,3,2,1,1,2,1
90573959,0,0,1,0,0,0,8,3,0,1,0,0,3,3,0,0
90573992,0,0,1,0,0,0,,3,1,1,1,0,2,2,1,0
90574133,0,0,1,0,0,0,5,3,0,0,1,0,1,1,1,1
90574197,0,0,1,0,0,0,4,2,0,1,0,0,2,2,0,0
90574204,1,0,0,1,0,0,4,1,0,1,0,0,2,3,0,0
90574205,1,0,1,0,0,0,4,2,0,0,0,0,2,2,1,0
90574307,1,0,0,1,0,0,6,2,0,1,1,0,2,2,1,0
90574335,1,0,1,0,0,0,4,2,0,0,1,0,3,3,0,0
90574392,1,0,0,1,0,0,4,3,1,0,0,0,1,3,1,1
90574415,0,0,1,0,0,0,4,2,0,1,1,0,3,3,0,0
90574489,1,0,1,0,0,0,4,2,0,1,1,1,1,1,1,0
90574494,1,0,0,1,0,0,,3,2,2,1,1,1,3,1,0
90574503,1,1,0,0,0,0,7,3,0,0,0,0,3,3,0,0
90574538,0,0,1,0,0,0,2,4,0,3,0,0,2,2,0,0
90574805,0,0,0,1,0,0,8,4,0,1,2,0,2,2,0,0
90574890,1,0,0,1,0,0,7,3,1,1,0,0,3,3,0,0
90574918,0,0,0,1,0,0,8,3,1,0,0,0,3,3,0,0
90574935,1,0,0,1,0,0,4,4,1,0,0,0,3,2,1,0
90574992,1,0,1,0,0,0,7,2,1,2,1,0,2,2,0,0
90575111,1,0,1,0,0,0,9,3,1,1,1,1,1,2,2,0
90575118,0,0,1,0,0,0,8,4,0,0,1,0,2,2,0,0
90575126,1,0,0,1,0,0,4,4,1,2,1,1,1,1,1,1
90575131,1,0,1,0,0,0,9,4,0,0,1,0,3,3,0,0
90575158,0,0,1,0,0,0,4,3,0,1,1,0,2,2,0,0
90575167,1,0,1,0,0,0,4,4,1,0,1,0,2,3,0,0
90575207,0,1,1,0,0,0,4,2,0,1,1,0,2,3,1,0
90575229,0,0,0,1,0,0,1,2,1,0,1,1,1,2,0,0
90575250,1,0,1,0,0,0,4,3,2,2,2,2,1,1,2,2
90575263,1,0,0,0,0,0,8,3,1,2,0,1,2,2,1,0
90575288,0,0,1,0,0,0,5,3,1,1,1,1,1,2,1,0
90575333,0,0,1,0,0,0,9,3,0,1,1,0,3,3,0,0
90575354,1,0,1,0,0,0,4,3,0,0,1,0,3,3,0,0
90575378,1,0,1,0,0,0,9,4,0,1,1,0,3,3,0,0
90575623,1,0,0,1,0,0,7,4,0,1,0,0,3,3,0,0
90575834,0,0,0,1,0,0,6,4,0,2,0,0,2,1,1,1
90575871,0,0,1,0,0,0,,3,0,2,1,0,2,2,1,0
90575873,1,0,0,1,0,0,9,3,0,0,1,0,2,2,0,0
90575919,0,0,1,0,1,0,9,3,1,1,1,0,3,3,1,0
90575931,0,0,1,0,0,0,8,2,1,2,1,1,1,1,2,0
90575946,1,1,1,0,0,0,7,4,0,1,0,0,2,3,0,0
90575948,1,1,1,0,0,0,9,3,1,0,1,0,2,2,1,0
90575950,1,0,1,0,0,0,8,3,0,0,1,0,2,2,0,0
90575975,1,0,1,0,0,0,9,2,0,2,0,0,2,2,0,1
90575978,1,0,1,0,0,0,9,3,0,1,1,0,2,3,0,0
90575982,1,0,0,1,0,0,4,4,1,1,1,1,2,3,1,0
90575991,1,0,0,1,0,0,6,0,0,3,1,1,1,1,1,2
90576057,1,1,0,0,0,0,2,4,0,2,1,0,3,2,0,0
90576117,0,0,1,0,0,0,8,3,0,0,0,0,3,3,0,0
90576119,1,0,1,0,1,0,4,2,0,2,1,2,1,1,3,0
90576142,1,0,0,0,0,1,4,3,1,0,1,0,2,3,0,0
90576148,1,1,0,0,0,1,8,3,1,2,1,2,0,0,2,2
90576245,1,0,0,0,0,1,6,3,0,1,0,0,3,3,1,0
90576248,0,0,1,0,0,1,9,2,1,1,1,1,1,1,1,0
90576285,1,0,1,0,0,0,7,4,2,1,0,0,2,2,1,0
90576336,0,1,0,0,0,0,4,2,1,0,1,1,1,1,1,1
90576412,1,0,1,0,0,0,7,2,0,1,1,0,3,3,1,2
90576445,1,0,1,0,0,1,8,1,0,0,0,0,3,3,0,0
90576481,1,0,1,0,0,0,7,2,3,1,1,0,3,3,0,0
90576485,0,0,1,0,0,0,9,4,0,1,0,0,3,3,0,0
90576522,1,1,1,0,0,0,4,3,0,0,0,0,3,3,0,0
90576531,0,0,1,0,0,0,9,3,0,2,1,0,2,2,0,0
90576687,1,0,1,0,0,0,8,1,0,0,1,0,3,2,0,0
90576754,1,0,0,1,0,0,7,2,0,0,1,0,3,3,1,0
90576758,0,1,0,0,0,0,4,3,1,0,1,0,3,3,1,0
90576759,1,0,1,0,0,0,4,2,1,1,3,1,2,2,1,0
90576811,1,0,1,0,0,0,8,2,1,2,2,0,2,2,1,1
90576837,0,0,1,0,0,0,9,2,0,1,1,0,3,3,1,0
90576844,0,0,0,0,0,1,8,4,0,1,1,0,2,2,1,0
90576919,0,0,1,0,0,0,7,0,0,1,1,0,3,3,1,0
90576925,1,1,1,0,0,0,1,2,2,0,0,0,3,3,1,0
90576928,1,1,0,0,0,0,9,4,0,0,1,0,3,3,0,1
90576942,0,0,0,0,0,1,5,2,0,0,1,0,3,3,1,0
90576948,1,0,0,0,0,1,4,3,0,2,1,0,3,3,0,0
90577063,0,0,1,0,0,0,5,4,0,0,0,0,3,3,0,0
90577065,0,0,0,1,0,0,,3,1,3,0,2,1,2,2,1
90577119,0,0,1,0,0,0,7,3,1,2,1,0,1,1,1,1
90577161,0,0,1,0,0,0,9,3,0,1,1,0,3,3,0,0
90577167,1,0,1,0,0,0,7,4,0,1,0,0,3,3,0,0
90577227,1,0,0,0,0,1,9,4,0,1,0,0,2,2,0,0
90577256,1,0,1,0,0,0,7,3,0,2,1,1,1,2,0,0
90577259,1,0,1,0,0,0,8,3,1,2,0,1,1,1,2,0
90577267,1,0,0,1,0,0,,1,1,2,2,1,2,3,1,3
90577322,1,0,1,0,0,0,9,3,0,2,1,0,2,2,0,0
90577326,1,0,1,0,0,0,9,4,0,0,1,0,3,3,0,0
90577411,0,0,1,0,0,0,4,3,0,0,1,0,3,3,0,0
90577516,1,0,1,0,0,0,4,4,0,0,0,0,3,3,0,0
90577712,1,0,1,0,0,0,2,3,1,3,2,1,1,2,1,1
90577782,1,1,1,0,0,0,7,4,0,0,0,1,3,3,0,0
