id,school,classroom,fsi_b01,fsi_b02,fsi_b03,fsi_b04,fsi_b05,fsi_b06,fsi_b07,fsi_b08,fsi_b09,fsi_b10,fsi_b11,fsi_b12,fsi_b13,fsi_b14,fsi_b15,fsi_b16,fsi_b17,fsi_b18,fsi_b19,fsi_b20,total,locale,class_size,avg_age,pct_female,pct_sped,pct_white,pct_black,pct_hispanic
48,1,3,0,2,2,0,2,2,0,2,0,0,0,1,1,0,0,1,1,1,0,0,15,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
49,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
50,1,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,2,2,2,0,0,14,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
51,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
52,1,3,0,0,0,0,2,2,0,2,2,0,0,0,2,0,2,0,0,1,0,0,15,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
53,1,1,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,1,2,1,1,31,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
54,1,1,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,34,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
55,1,1,2,0,2,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,1,31,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
56,1,1,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,35,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
57,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,36,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
58,1,1,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,36,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
59,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,39,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
60,1,3,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,36,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
61,1,4,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,33,Subruban,8,68.2,0.5,0,0.75,0,0.25
62,1,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Subruban,8,68.2,0.5,0,0.75,0,0.25
63,1,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,8,Subruban,8,68.2,0.5,0,0.75,0,0.25
64,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,Subruban,8,68.2,0.5,0,0.75,0,0.25
65,1,4,0,0,2,0,0,0,2,0,0,0,2,2,2,2,2,0,2,0,1,0,17,Subruban,8,68.2,0.5,0,0.75,0,0.25
66,1,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Subruban,8,68.2,0.5,0,0.75,0,0.25
67,1,4,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,Subruban,8,68.2,0.5,0,0.75,0,0.25
68,1,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Subruban,8,68.2,0.5,0,0.75,0,0.25
69,1,1,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,36,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
70,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,1,36,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
71,1,3,2,2,2,0,2,2,0,2,2,0,2,1,2,2,2,0,2,1,0,2,28,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
72,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
73,2,5,2,2,0,0,2,0,0,2,0,2,1,1,2,1,1,1,0,1,1,1,20,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
74,2,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
75,2,5,2,2,2,0,2,2,0,2,2,0,2,0,2,2,1,0,0,2,2,2,27,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
76,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,39,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
77,2,5,2,2,2,2,2,2,2,2,0,0,0,2,2,0,1,2,2,2,0,0,27,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
78,2,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
79,2,5,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,34,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
80,2,5,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,6,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
81,2,5,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,36,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
82,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
83,2,5,2,2,2,0,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,29,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
84,2,5,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,36,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
85,2,5,0,0,0,0,0,0,0,2,2,2,2,0,1,0,1,0,0,0,0,0,10,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
86,2,5,2,2,2,0,0,0,2,0,2,0,0,0,2,2,2,0,2,0,2,0,20,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
87,2,5,2,2,2,2,0,0,2,2,0,2,1,1,1,2,0,2,2,1,1,1,26,Rural,15,70.82,0.6,0.266666666666667,0.333333333333333,0,0.0666666666666667
88,4,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
89,4,6,0,2,0,0,0,2,2,2,2,2,0,1,2,1,1,2,0,1,2,2,24,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
