schid,stuid,pfemale,page,sfemale,match,attention,affective
557,1,1,37,0,0,1.05325582176742,0
557,2,1,41,1,1,-0.507123173443571,0
557,3,1,36,0,0,0.741180022725219,1
557,4,1,36,1,1,0.741180022725219,0
557,6,1,40,1,1,-0.819198972485769,1
557,7,1,35,0,0,1.05325582176742,1
557,8,1,44,1,1,-1.44335057057016,0
557,9,1,40,0,0,-0.819198972485769,1
589,0,1,39,0,0,-0.919238815542511,1
589,1,1,39,1,1,-0.919238815542511,0
589,2,1,,0,0,-0.919238815542511,
589,4,1,38,0,0,0.777817459305202,0
589,5,1,41,1,1,-0.919238815542511,0
589,6,1,38,0,0,0.777817459305202,0
589,7,1,38,1,1,0.777817459305202,0
589,8,1,,0,0,1.34350288425444,
648,0,1,40,1,1,-0.471404520791032,0
648,1,1,43,0,0,-1.53206469257085,0
648,2,1,39,1,1,0.235702260395516,0
648,3,1,40,0,0,-0.117851130197758,0
648,4,1,43,1,1,-1.53206469257085,0
648,5,1,39,0,0,0.942809041582063,0
648,7,1,36,0,0,0.942809041582063,1
648,8,1,37,1,1,0.589255650988789,0
648,9,1,34,0,0,0.942809041582063,1
658,1,1,45,1,1,-1.11207687497107,0
658,2,1,43,0,0,0.556038437485533,0
658,3,1,46,1,1,-1.11207687497107,0
658,4,1,44,0,0,0.139009609371383,0
658,5,1,38,1,1,2.22415374994213,0
658,6,1,44,0,0,-0.278019218742766,0
658,7,1,44,1,1,-0.278019218742766,0
658,8,1,44,0,0,0.139009609371383,0
658,9,1,44,1,1,-0.278019218742766,0
684,0,1,40,1,1,0,0
684,1,1,41,0,0,-1.57567719431667,1
684,2,1,45,1,1,-1.1817578957375,0
684,3,1,42,0,0,0.393919298579167,0
684,4,1,38,1,1,1.1817578957375,0
684,5,1,40,0,0,1.1817578957375,0
684,6,1,42,1,1,0,0
684,7,1,44,0,0,-1.1817578957375,0
684,8,1,40,1,1,0.787838597158335,0
684,9,1,40,0,0,0.393919298579167,0
699,0,1,41,0,0,-0.662794417067947,0
699,1,1,44,1,1,-1.03561627666867,0
699,2,1,39,0,0,0.455671161734213,0
699,3,1,36,1,1,1.20131488093565,0
699,5,1,38,1,1,0.455671161734213,0
699,6,1,38,0,0,1.20131488093565,0
699,7,1,40,1,1,0.0828493021334932,0
699,8,1,41,0,0,0.0828493021334932,0
699,9,1,44,1,1,-1.78125999587011,0
713,0,1,39,0,0,0.774596669241483,0
713,1,1,45,1,1,-1.54919333848297,0
713,2,1,41,0,0,-0.387298334620742,0
713,3,1,44,1,1,-1.16189500386223,0
713,4,1,44,1,1,-0.774596669241484,0
713,5,1,40,1,1,0.774596669241483,0
713,6,1,38,0,0,0.774596669241483,0
713,7,1,36,1,1,1.54919333848297,0
713,8,1,,0,0,0.387298334620741,
713,9,1,40,1,1,-0.387298334620742,0
766,0,1,42,1,1,0.340438322155965,0
766,1,1,39,0,0,2.61002713652907,0
766,2,1,45,1,1,-0.416091282635069,0
766,3,1,44,0,0,-0.416091282635069,0
766,4,1,45,1,1,-0.416091282635069,0
766,5,1,46,0,0,-0.794356085030586,0
766,6,1,46,1,1,-0.794356085030586,0
766,7,1,44,0,0,-0.416091282635069,0
766,8,1,44,1,1,-0.0378264802395516,0
766,9,1,43,0,0,0.340438322155965,0
824,0,1,44,0,0,-1.00797600417867,0
824,1,1,40,1,1,-0.118585412256314,1
824,2,1,35,0,0,1.36373224094761,1
824,3,1,43,1,1,-0.711512473537885,0
824,4,1,36,0,0,1.36373224094761,0
824,5,1,36,1,1,1.06726871030683,1
824,6,1,43,0,0,-0.711512473537885,0
824,7,1,44,1,1,-1.30443953481946,0
824,8,1,40,0,0,-0.4150489428971,1
824,9,1,37,1,1,0.474341649025257,1
863,0,1,42,1,1,0.962250448649376,0
863,1,1,42,1,1,-0.192450089729875,0
863,2,1,41,0,0,0.384900179459751,0
863,3,1,44,1,1,-1.34715062810913,0
863,4,1,42,0,0,0.384900179459751,0
863,5,1,42,1,1,0.384900179459751,0
863,6,1,39,1,1,1.539600717839,0
863,7,1,44,0,0,-0.769800358919501,0
863,8,1,44,1,1,-1.34715062810913,0
996,0,1,43,1,1,-1.41177147185756,0
996,1,1,40,0,0,-0.0743037616767141,0
996,2,1,40,1,1,-0.408670689221925,1
996,3,1,36,0,0,1.26316394850413,0
996,4,1,,1,1,1.26316394850413,
996,5,1,40,0,0,0.260063165868498,0
996,6,1,40,1,1,-1.07740454431235,1
996,7,1,36,0,0,0.928797020958921,1
996,9,1,42,0,0,-0.743037616767137,0
1063,0,1,41,1,1,-0.540665483272593,0
1063,1,1,40,0,0,0.502046520181693,0
1063,2,1,34,1,1,1.19718785581788,1
1063,3,1,38,0,0,0.849617187999788,0
1063,4,1,40,1,1,0.849617187999788,0
1063,6,1,44,1,1,-1.23580681890878,0
1063,7,1,40,0,0,0.502046520181693,0
1063,8,1,43,1,1,-0.540665483272593,0
1063,9,1,44,0,0,-1.58337748672688,0
1069,0,1,43,1,1,0.129099444873581,0
1069,1,1,44,0,0,-1.16189500386223,0
1069,2,1,44,1,1,0.129099444873581,0
1069,3,1,44,0,0,-0.516397779494322,0
1069,4,1,40,1,1,1.42009389360939,0
1069,5,1,44,0,0,-1.16189500386223,0
1069,6,1,41,1,1,1.42009389360939,0
1069,7,1,44,0,0,-1.16189500386223,0
1069,8,1,42,1,1,0.129099444873581,0
1069,9,1,40,0,0,0.774596669241484,1
1091,0,1,43,1,1,0.279542623125845,0
1091,1,1,44,0,0,-0.978399180940457,0
1091,2,1,40,1,1,0.908513525158996,1
1091,3,1,41,0,0,0.908513525158996,0
1091,5,1,44,0,0,-0.978399180940457,0
1091,6,1,44,1,1,-0.978399180940457,0
1091,7,1,44,0,0,-0.978399180940457,0
1091,8,1,38,1,1,1.53748442719215,1
1091,9,1,44,0,0,0.279542623125845,0
1221,1,1,43,1,1,-0.657595949221429,0
1221,2,1,38,0,0,0.986393923832144,0
1221,3,1,39,1,1,0.328797974610715,0
1221,4,1,39,0,0,-0.328797974610715,1
1221,5,1,46,1,1,-1.97278784766429,0
1221,6,1,37,0,0,0.986393923832144,0
1221,7,1,43,1,1,-0.657595949221429,0
1221,8,1,37,0,0,0.986393923832144,0
1221,9,1,40,0,0,0.328797974610715,0
