district,subject,grade,achievement,gap_gender,percent_ell,percent_sped,percent_frl
ASHLAND SD 5,mth,4,4.95541731937188,-0.372730936752921,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,4,5.3520521367519,-1.27457009457449,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,mth,5,5.66071115743697,0.536889270284924,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,5,6.39461964187568,-0.703673663979229,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,mth,6,8.03433422949066,-1.39247835353691,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,6,7.22594839187643,-2.65494972738219,0.011235955,0.10963568,0.32375002
ATHENA-WESTON SD 29RJ,mth,3,2.18123912240482,-1.46087659314191,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,3,2.57089176988695,-1.5180320180224,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,mth,4,2.33577212582749,-0.788353778488748,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,4,2.41979059745351,-3.24208942815494,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,mth,5,3.43257388473102,0.025296626997149,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,5,4.03728364983756,-0.485724265877752,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,mth,6,5.29536260334961,-3.93409682460909,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,6,5.19128658955742,-3.02044999690329,0,0.12173913,0.59429741
BEAVERTON SD 48J,mth,3,3.96542815296296,0.555164147223854,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,3,4.37086869550183,-0.57173615914977,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,mth,4,4.90354855738432,0.610744038688784,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,4,5.44635920064214,-0.472958326771499,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,mth,5,5.89602441405089,0.109658247976667,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,5,6.27214465692271,-0.835319621734434,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,mth,6,7.00730221042844,0.0031575920686325,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,6,7.11816981340411,-0.864252669618114,0.12324786,0.13379732,0.36187303
CENTENNIAL SD 28J,mth,3,1.33576712740018,0.446189212444197,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,rla,3,1.27135939436198,-0.225002765880236,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,mth,4,2.11448733439531,0.537186547455726,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,rla,4,2.33531805081419,-0.478537374126253,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,mth,5,2.83316910640676,-0.300063682516716,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,rla,5,3.21561615298107,-0.995248024836253,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,mth,6,5.1815038460965,-0.139053201983363,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,rla,6,5.10048640235407,-0.54914107763566,0.1921777,0.16658619,0.71982235
CENTRAL SD 13J,mth,3,1.38671860615447,-0.436647519171113,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,rla,3,1.18491548791141,-1.486011778024,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,mth,4,2.34536497057669,-0.160892328612937,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,rla,4,1.89794688311766,-0.415149218615253,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,mth,5,4.07294768293694,0.419834673530447,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,rla,5,3.9258975818885,0.181728959332078,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,mth,6,4.24708215831656,-0.0658083391361983,0.14198844,0.12769839,0.59257066
CENTRAL SD 13J,rla,6,4.88211326109058,-0.545057472472186,0.14198844,0.12769839,0.59257066
COQUILLE SD 8,mth,3,2.50251418940484,0.108099419345827,0.019248396,0.13565536,0.574889
COQUILLE SD 8,rla,3,2.47621912041408,-1.47947817319011,0.019248396,0.13565536,0.574889
COQUILLE SD 8,mth,4,3.98308948271179,0.144355071966894,0.019248396,0.13565536,0.574889
COQUILLE SD 8,rla,4,4.78044784961472,-0.439217220659605,0.019248396,0.13565536,0.574889
COQUILLE SD 8,mth,5,5.71751301503892,0.221755617492775,0.019248396,0.13565536,0.574889
COQUILLE SD 8,rla,5,5.74786927692322,-0.758485137331605,0.019248396,0.13565536,0.574889
COQUILLE SD 8,mth,6,6.2312829254916,-0.362311257306551,0.019248396,0.13565536,0.574889
COQUILLE SD 8,rla,6,6.64868000276616,-1.93673106693247,0.019248396,0.13565536,0.574889
DAVID DOUGLAS SD 40,mth,3,1.03668835696172,0.0923388793204237,0.2191311,0.12709604,0.76588869
DAVID DOUGLAS SD 40,rla,3,1.3757885956218,-0.95806859865616,0.2191311,0.12709604,0.76588869
DAVID DOUGLAS SD 40,mth,4,2.30249545834438,0.22865788370128,0.2191311,0.12709604,0.76588869
DAVID DOUGLAS SD 40,rla,4,3.08412785444745,-0.361284273185588,0.2191311,0.12709604,0.76588869
DAVID DOUGLAS SD 40,mth,5,3.22371671611714,-0.430177336053199,0.2191311,0.12709604,0.76588869
DAVID DOUGLAS SD 40,rla,5,4.02567927178939,-1.15097854662946,0.2191311,0.12709604,0.76588869
DAVID DOUGLAS SD 40,mth,6,4.78458829424594,-0.224160967208114,0.2191311,0.12709604,0.76588869
